f1,f2,f3,f4,f5,f6,f7,objectId,codigo_mun,EXCEL_ID,women
25394,La Palma,10912,4129,6783,5337,5575,67,25394,9d549e3d-0fbe-4929-85ac-27fee34c0842,-5575
25398,La Peña,7040,995,6045,3445,3595,68,25398,125aca7e-eb49-424c-8441-c1f68b4c21ff,-3595
25407,Lenguazaque,10352,2310,8042,5427,4925,70,25407,4e0ac9dc-46ca-42f1-8bbb-7589d1e62578,-4925
25426,Macheta,6226,1495,4731,3050,3176,71,25426,3f28fd9a-e824-4e24-aaf1-255f481f572a,-3176
25430,Madrid,80622,70203,10419,40363,40259,72,25430,b7e9e50f-3dbe-4f3a-91d7-e7b145016330,-40259
25436,Manta,4754,1308,3446,2358,2396,73,25436,936a68dc-95fb-4bfe-b1c5-01a2baefc8a7,-2396
25438,Medina,10162,3933,6229,5373,4789,74,25438,38e69f21-fe83-4e6e-8e9b-e909a10d3577,-4789
25473,Mosquera,86954,83520,3434,43186,43768,75,25473,cf3ad765-03ce-4872-a566-44b9dcadd829,-43768
25483,Nariño,2233,1470,763,1079,1154,76,25483,603c8605-b85f-4e3f-a72b-49c4d0bca14f,-1154
25486,Nemocón,13922,5817,5817,7113,6809,77,25486,500cd4c3-d204-416a-9e55-f18e201b91a4,-6809
25488,Nilo,19328,5002,14326,13011,6317,78,25488,03eb0014-76bd-4995-8c38-7132e4df758d,-6317
25489,Nimaima,6947,3025,3922,3412,3535,79,25489,e57b7802-f4a4-4b5d-a4fd-f2be93dd06c6,-3535
25491,Nocaima,8111,1911,6200,4136,3975,80,25491,d36abdeb-99da-43c3-bde7-a1b885d71598,-3975
25506,Venecia,4087,1125,2962,2167,1920,81,25506,6c578637-85f7-4439-b239-42ddc8d227c3,-1920
25518,Paime,4339,454,3885,1970,2369,83,25518,5391242d-793b-49f0-a47c-e2592292f252,-2369
25524,Pandi,5697,1075,4622,3049,2648,84,25524,62e6bdd0-3204-4902-b78b-9769162d3343,-2648
25530,Paratebueno,7782,2443,5339,4077,3705,85,25530,cb4a3ba4-1e42-4d49-8adc-69038a736d2d,-3705
25572,Puerto Salgar,19337,14630,4707,10219,9118,87,25572,05bf3ecc-e8c7-4f97-82f4-5abfdb2ae0c4,-9118
25580,Pulí,3024,674,2350,1510,1514,88,25580,9d5ca04c-3651-48f2-a142-9c5d3ec86d1c,-1514
25592,Quebradanegra,4759,390,4369,2576,2183,89,25592,6987eef9-c0ce-4717-b691-8e4be86c84eb,-2183
25594,Quetame,7241,1648,5593,3685,3556,90,25594,324242c5-3179-4e34-ac7a-f7c9230960f4,-3556
25596,Quipile,8150,675,7475,4213,3937,91,25596,0e340f5c-75a4-46e2-8d08-6f115ce09cf8,-3937
25599,Apulo,7812,3151,4661,4042,3770,92,25599,d943a489-c6e4-41c1-9c51-8e0b16c3e3ad,-3770
25612,Ricaurte,9711,4537,5174,4802,4909,93,25612,f8b64d7a-2c9c-47e6-9387-bf715d934383,-4909
25649,San Bernardo,10745,4198,6547,5263,5482,95,25649,29e96ccd-688a-44eb-94d3-98227607f04a,-5482
